text,HS,Abusive,HS_Weak,HS_Moderate,HS_Strong
saat cowok usaha lacak perhati lo lantas remeh perhati kasih khusus lo basic lo cowok bodoh,1,1,1,0,0
retweet user user lambat asih lu edan sarap gaul cigax jifla cal noh licew,0,1,0,0,0
kadang pikir percaya tuhan jatuh kali kali kadang tuhan ninggalkan orangtuaku rencana pisah kakak pilih kristen anak ter,0,0,0,0,0
user user nku mata sipit,0,0,0,0,0
user user kaum cebong kapir dongok dongok hahahah,1,1,0,1,0
user iya bani taplak kawan xf kali f kali kali xf kali f kali kali xf kali f kali kali,1,1,0,1,0
deklarasi pilih kepala daerah aman anti isu bohong warga dukuh sari jabon,0,0,0,0,0
kelar reply watch aldnoah zero sial endingnya karakter utama cowonya kena friendzone bray xd url,0,1,0,0,0
admin belanja port baik makan ais kepal milo ais kepal horlicks cendol toping kaw kaw ð doket mano gerai rojak mertua taipan twins baby amp romantika bank islam senawang ð,0,0,0,0,0
user enak kalo ngewe,0,1,0,0,0
gue jari bom gue ukur nyali bicara xf kali f kali kali f,1,1,1,0,0
user user user user banci kaleng malu nyungsep koe user url,1,1,1,0,0
ajar ekonomi mesti jago privatisasi hati orang aduh ironi user,0,0,0,0,0
aktor huruhara prabowo si lengser perintah jokowi nyata,1,0,1,0,0
user bu guru enak jarang belai guru esde sih nkayaknya nikmat pecun guru,1,1,1,0,0
user user user user user user lawan bicara gue intelek kayak lo otak kencing onta gue aku hadis nabi sahih kafir kayak lo tolak lo ahlunnar,1,1,1,0,0
pikir ampas banget iya,0,0,0,0,0
ari sarua bek mah repeh monyet xf kali f kali kali xf kali f kali kali,0,1,0,0,0
cowok gantle gantle nama banci,1,1,0,1,0
user slga mnr bom xf kali f kali kali,0,0,0,0,0
asw iya jarang ambek tacut wkkwkwkwkw bucin,0,1,0,0,0
user noob peluang disakitin nya gede sih,0,0,0,0,0
user joko widodo nilai presiden lemah sejarah indonesia jokowi milik modal dukung politik ketidakmampuan perintah hadap situasi ekonomi,0,0,0,0,0
ajar camat bilah hilir deklarasi anti isu bohong amp pilih kepala daerah damai,0,0,0,0,0
bandara udara internasional kertajati bangun gubernur ahmad heryawan apbn perintah pusat insya allah operasi,0,0,0,0,0
gubernur presiden rakyat iya kitaâ²,0,0,0,0,0
sih user kerja delay setan,1,1,0,1,0
turut pintu sorga pintu sorga asli pintu hati modusbanget,0,0,0,0,0
retweet user user user partai komunis indonesia muncul jelang pilih kepala daerah pilih presiden goreng gosong,1,0,0,1,0
user user mah nenek nenek heran cebong biasay bohong,1,1,1,0,0
user user user user user user user user user islam nusantara produk jil pasar gencar antek xc xb jil nsementara jil anti arab profesional aseng nkata almarhum kah hasyim muzadi,1,0,0,1,0
habis sahur jam sibayik nete kali lemas xf kali f xa xa,0,0,0,0,0
user kak emak mah suka sipit wkwk,0,0,0,0,0
retweet user laku homok jaman now ngentot live blued url,0,1,0,0,0
user kak orang jawa maaf ya orang palembang kakak deh ajar aksara jawa kalak ajar budaya palembang,0,0,0,0,0
pegawai guardian training kayak mentang kayak gembel kaos flat shoes dijutekin bangsad malas beli kabur matahari,1,1,0,1,0
xe kali kali dpara bajing luka lady terima ganjar ratus kali lipat xe kali kali sanji,0,1,0,0,0
aja tolak berita isu bohong sukses pilih kepala daerah wilayah kota keidri,0,0,0,0,0
user user presiden ri jokowi luarbiasa kerja nya tulus ihlas,0,0,0,0,0
edan goollnya fabiano,0,1,0,0,0
gapernah dalam al quran iya mas pantesan mulut kayak orang kafir bejat hina farhatabbaslaw,1,1,1,0,0
beda wibawa wibawa gubernur indonesia user massya allah,0,0,0,0,0
anjir kali lihat orang bodoh debat pilih kepala daerah kerja serang karakter shame on you mpok silvy agus,1,1,0,1,0
retweet user keanekaragaman budaya suku agama sungguh kaya â djarot hadap serta rakercabsuâ,0,0,0,0,0
